"",PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50
Enpp6,-0.00525847517760547,-0.0102885382008439,-0.0558028367658175,-0.0397345118296081,0.130816492135605,-0.0521342708879006,-0.00439564352352267,0.0233032115614113,-0.0582617316034062,-0.0310159596256296,0.0347014575577289,-0.00743571537443476,-0.0363025080730136,-0.0762437055653308,-0.00960348690514885,-0.0129396953813646,-0.0206325766687003,0.00981867521545052,-0.0155585762809029,0.00242818902311085,0.0638599538862267,-0.0171721373757511,-0.0252834891265803,-0.047533620908092,0.0171574741224967,-0.0256193283989428,0.0113049545905219,0.00235913077663493,-0.0169757355957732,0.0145799596092168,0.0148527889573977,-0.00313990328538579,-0.0281839960864343,-0.00130814404211472,-0.026937587131838,0.00172843840096737,0.000708237007317108,-0.015287746529141,0.00966084847039273,-0.0184368367728285,0.00844006331028612,0.023440051223303,0.024450307505113,-0.0123841052220906,-0.0245529206488786,0.00674809885595336,-0.0148147574666009,-0.0222391785661827,0.0180548937751832,0.0107170380178184
Ctgf,0.0110855031818151,0.00791845049298833,0.0126084064125929,-0.0110529623191105,0.00235847869892917,-0.0257292430647638,0.00852256876660329,-0.00320278803224745,0.0043327013339574,-0.00445108060154564,0.0150441783938088,0.0221671721563039,0.0571780905878097,-0.00978547485911804,-0.00152086644093443,0.00193784711221682,-0.00326080104145227,0.038458169616202,0.052298422248881,-0.0398731760787418,-0.00297263103221085,-0.00564185280334627,-0.0679019506426197,-0.035043196988181,0.00605939292315088,-0.00588300932208049,0.0120236491408507,-0.00126931768072467,-0.0168692879759821,0.00815849160797805,-0.0114722815602468,-0.0203945754128465,-0.0372941872551513,-0.0650916967715031,-0.00553226071669141,-0.0567499138486995,0.0220646509819655,-0.0254782673004485,-0.0023898297952086,0.00145405377766818,0.0207070813094447,-0.0176426986058734,0.0138544346467002,0.0506806030520876,0.0206849717095903,0.0154737634323281,0.0456590167510004,0.0203835265200121,0.0208621491894302,0.0123758887228494
Apod,0.0408006101642749,0.0299114383101589,0.0140046257414301,0.00923613571072726,0.0525767660156323,0.0485951771578289,-0.0334667528944215,-0.00728024577971215,0.00519233214014947,0.00773720057677686,-0.0087644716673438,-0.0425110875872571,-0.0156096989669037,0.0100721702604228,-0.0390556566566619,-0.00738900995102954,-0.0136137803007598,-0.0373314372770858,0.00795775814553666,0.0177130853463839,-0.0392456058915769,-0.0184606817586249,0.0204646473210447,-0.00547353823923962,-0.0102084616441929,0.0379126388909464,0.0226830275893343,0.0410268934146731,-0.0484389410394746,0.0272869760266294,-0.0201467644871436,0.0185503845869046,-0.0126398795980662,0.0197703114748704,0.0348582179759723,0.0317326201875317,-0.0129303710858358,-0.0623416130160322,0.0101400129911248,-0.00311543731362883,-0.0678897475977726,0.0522865090565676,0.0496931410229834,0.0425250985317456,0.0498138310613503,-0.0122802625085985,0.0211534879899599,-0.013311203980049,-0.00423260841699577,-0.0374585857208437
Ly6a,0.0191490433040535,0.000497764074399655,0.0360872757339508,0.025028961451444,0.0387843096295749,0.0195278989782592,0.00417214795481635,0.00484393619360299,-0.00539610302876173,-0.0448139975185778,-0.0272881104679883,-0.0214852679394176,0.0458137312206453,-0.0597624055520559,-0.0313790691659785,0.000171412438234865,0.0363720625838316,0.0374319462198661,-0.0175873072464489,0.0162542035048646,-0.0212782033362324,0.018997118554472,-0.0468243637797322,0.0300860744050012,-0.046352473914479,0.0750585028530547,-0.0188893772031681,0.0170511077242233,0.0570141731969825,-0.013974342159529,0.0266857831668396,0.0335811306501773,0.0152263037467779,0.000458669316275596,0.0113503536932258,-0.00561634833381336,0.0831379891492472,-0.0102551054611338,-0.0190931805790159,0.0188465459797465,-0.0350128698242768,0.0512552516674167,0.0527093535672291,0.0438167340634595,-0.0316651335135841,0.0491166395320025,0.0738151087849221,0.00823652857101469,-0.00551859513088965,-0.0306891961619406
Ptgds,-0.00468854617768066,-0.00352154406129192,-0.0143857287622532,-0.0133943880988621,0.028436803118476,-0.009929457113565,0.00123271287526739,0.0169807935523434,-0.0291045637873739,-0.0399112270285609,-0.0234022583744841,-0.0156589792178523,-0.00347866375355506,-0.0290908667967242,-0.0335842922955261,-0.0196039950007506,0.00300017116256019,0.0101926089687275,0.0070751353138597,-0.0168838219631254,-0.0272566157278976,-0.0237295044910131,0.00379860141979117,0.0271434214743692,0.0150451311839544,0.00229124143782948,-0.0343498758499339,-0.00265422714173178,-0.0212056873237573,0.104675207523931,0.0692513070182838,0.0150250635945242,0.0223770823457109,0.0290182446112989,0.030999249956083,0.0540857140277891,0.00886096205239218,0.00854981914337474,0.00456022639038975,0.00374532372653121,0.00795584983736879,0.0161936326990665,-0.0817044102060552,-0.00262936721677117,0.0673488329106787,0.0182373300289216,0.0649413437152757,-0.0219478667167285,-0.000262814519492112,0.0193877231271064
Ifi27l2a,0.0487978698184006,0.0157535445275476,-0.0158117555135455,0.0314297384299784,0.0130217562423119,0.0163911046422702,0.00583088023914987,-0.0281514353743796,0.025374974327357,-0.030071055121679,0.0179387863712899,-0.0730240687197181,0.0128021681941493,0.00646551879829927,-0.0288332209112019,0.0321192053744998,-0.0490135422900789,-0.0490083016476874,0.0262065473318601,0.0179009266137354,0.0058705238420232,0.00788561230515085,-0.00687676795501524,0.0373690739535237,0.00994908189246912,0.0337058183896419,0.0360223102546358,0.0208894991826639,-0.0609601857770835,0.0263026292853416,0.0240767723049715,0.00608563859303169,0.0210940507439588,-0.00393922878583887,0.00607287086634973,0.0289338122282268,0.0552316476203962,0.0252335556796404,-0.0391965535217677,0.0522369264466169,-0.0540017706129584,-0.0234886807353891,0.0238387410485377,-0.0120376860292034,-0.0154080076996659,0.00985018813064027,-0.030882627671187,0.0240175306228053,0.0502613236717864,-0.0230228397317588
Mpz,0.0498475693755364,0.0455939838095412,-0.0570258905166043,0.00117371951033005,-0.0567485135679796,-0.0548676493056908,0.0546533183445436,0.000837964352323323,-0.0326295159042237,0.00919305034473408,0.00699375655340481,0.0412787434103452,-0.0190824445107668,-0.0176759191147066,-0.00507765047648784,-0.022307112204241,-0.0325953650031907,-0.0600594508540642,-0.0247941575625305,0.0172484586384654,-0.0529720009100035,0.00585806012631792,0.0197320569353447,-0.00500502125307588,-0.0293267839228772,0.0275200524128821,0.0157582932687303,0.00446503762162776,-0.0175691859539192,-0.0023438898969327,-0.00802735896324791,0.00794861670065253,-0.0261744408554337,0.0126265725938661,-0.0288445962516554,0.00272311381715323,0.0163940899241006,-0.0244648288835356,0.00587303167122239,0.00019410366809355,0.00645779298425406,0.0157071554273376,0.0205939989204019,-0.019558594140564,0.0304115810432855,-0.00915356464856972,-0.00648588236979903,0.00992993016590911,-0.00689350031891499,-0.0265589980836955
Hist1h1b,-0.00963393579369836,0.0261995225260274,0.00408359721818217,-0.047704343717745,0.0222206918682886,0.05642521081049,0.0648133111098258,-0.065199072466961,0.0654923267242391,-0.0975093385283245,-0.0120294696524503,0.0722313594047666,-0.0535267998674885,-0.0060921592589667,-0.0141336649282111,0.0416723079359225,0.00446517320988833,0.0134215685605087,-0.0167391534911457,-0.031637150933527,-0.0107145533500075,-0.0264154109207635,-0.00730450095405632,0.014271300481539,-0.0197500024532929,-0.0155100285199985,0.00636124336885008,0.024696982728997,-0.00161708913470005,0.0103255330115148,-0.00380555255333271,-0.0133575890626407,-0.00247376996241306,0.00626433364997156,-0.0119833105973473,0.00802567621863347,-0.00178654268503665,-0.000918620013417543,-0.00777091288861796,0.0127336176752051,-0.00722852750069743,-0.00353524810594362,-0.0176565564934284,0.0193396077576908,0.0174244477568791,0.0196088966461941,0.0141537766745708,-0.0101397108003817,0.00873996839411684,0.00402155096051811
Ccl5,0.0117428096358993,-0.0361989842975635,0.0277065606365995,0.0362866826725619,0.00539274597186255,-0.0109229283517989,0.0503602257124108,0.00707568254380806,-0.0214988040526248,-0.01880164238509,-0.000525890674913519,0.00136611275488273,-0.0372715159363328,-0.0258562362667873,0.012242418572431,-0.0240889425540459,0.0365318371287832,0.045099115585982,0.0180175464561272,0.00556629945355201,-0.0770314400041859,-0.0249731327578914,0.0106218076797319,-0.0169205104918825,-0.0383851431557795,0.0498639165075424,-0.0240465324861003,-0.0181250798175442,0.00730774787717755,0.00156066463604812,0.013449925505307,0.00396753359583082,0.0568047624881974,-0.00542823327064554,-0.0131056311857182,0.0494164467291407,0.0779494017630741,0.0509911436101031,0.0123071226382029,0.0413202497145973,-0.0650698076319468,-0.00497482523219987,-0.0405060311830376,-0.0387538316387326,-0.0506386231378324,-0.0871593557265744,-0.0258498987487979,-0.0111758227839486,0.0176703295104622,-0.0122328703733488
Isg15,0.051860787963428,-0.00647249376549011,-0.0278313130234007,0.0664100961524961,-0.0172511164118502,-0.000256064217375766,0.0633977104862004,-0.0136374791011755,-0.00415821625120231,-0.0624292712130004,0.0277201252650595,-0.0897299084880107,0.010104242792686,-0.00284550923322494,-0.0201915103551683,0.0348886848111688,-0.0198719532430994,-0.0352061067907059,0.00308206861882227,0.030937481350676,-0.00893810509170837,-0.0110250152100729,-0.0170690571618445,0.0122335377746007,0.0552739636280121,-0.0205226608701392,0.00633787113045156,-0.00387048597633019,-0.0440883418008914,-0.00772884584338405,-0.0126720634490751,-0.000373138621284201,-0.0234316089581234,0.0226963381223559,-0.0178064592378795,-0.000354157377511062,-0.0095312610546287,-0.0230945617885434,0.00793954966952335,-0.000556252418673171,-0.00394700045994761,-0.0289744565386992,0.00157736229634336,-0.00796729290873906,0.0208741566666306,-0.0236144415874631,-0.0301821890105824,0.0124675320277502,-0.00727564367610801,0.00304504470317876
