"",variance,variance_ratio
"1",113.913257504239,0.230421973138888
"2",83.2388712275559,0.168374299623496
"3",36.8688360533058,0.0745777105919454
"4",30.6533457830227,0.0620051131306632
"5",20.2601456423398,0.0409819088424844
"6",14.8675287046961,0.0300738068148708
"7",13.9493200824155,0.0282164686337452
"8",11.7848797719487,0.0238382722937753
"9",10.127133339079,0.0204850084823916
"10",9.94937639545756,0.020125444489703
"11",8.56134148255524,0.0173177489639674
"12",8.07953933599076,0.0163431670434231
"13",7.77217507199821,0.0157214353702778
"14",6.98045461412925,0.0141199554892394
"15",6.15985979435515,0.0124600689961078
"16",5.55753323273841,0.0112416921553215
"17",5.38314421148288,0.0108889407438367
"18",5.06747295620205,0.0102504058173613
"19",4.97641668894081,0.0100662186101066
"20",4.78691142370265,0.00968289029439441
"21",4.4214767957519,0.00894369478835286
"22",4.22333505642746,0.00854289674660948
"23",3.90447521833539,0.00789791200420417
"24",3.85527908604758,0.00779839882969824
"25",3.60696900300784,0.00729612103922975
"26",3.57972292480537,0.00724100809419369
"27",3.44030859370462,0.00695900294431131
"28",3.31755769424361,0.00671070432588818
"29",3.21577218557899,0.00650481417528325
"30",3.15279185745046,0.00637741854290244
"31",2.96618831089648,0.00599995977880658
"32",2.93012616429007,0.00592701382713487
"33",2.91029701545556,0.00588690373196055
"34",2.76808036115066,0.00559923008609955
"35",2.73998321446185,0.00554239561290957
"36",2.654336099167,0.0053691499544825
"37",2.56809188136939,0.00519469648636002
"38",2.52772247280261,0.00511303787190013
"39",2.46027805189725,0.00497661234178442
"40",2.43721962270228,0.00492997010830787
"41",2.34881238429412,0.00475114131559241
"42",2.32074056950502,0.00469435808337685
"43",2.26394034597488,0.00457946347086823
"44",2.2196812527205,0.00448993686246065
"45",2.19475862034516,0.00443952374766121
"46",2.15877452435304,0.00436673567556331
"47",2.10901112845485,0.00426607504901135
"48",2.08318665945253,0.00421383771304932
"49",2.05815098794058,0.00416319594443492
"50",1.99342109604592,0.00403226132156297
